rep,vial,male_geno,intro,time_start,time_stop,d_1,d_2,d_3,d_4,e_tot,mated,p_1,p_2,p_3,p_4,p_tot,hatch_t,h_1,h_2,h_3,h_4,lat,dur
2,27,Obp56g/CyO,11:46:00,12:34:00,12:59:00,63,108,91,75,337,N,60,98,76,62,296,0.952380952,0.907407407,0.835164835,0.826666667,0.878338279,0:48:00,0:25:00
2,28,WT/CyO,11:52:00,12:58:00,13:19:00,66,82,78,32,258,N,66,79,75,32,252,1,0.963414634,0.961538462,1,0.976744186,1:06:00,0:21:00
2,30,Obp56g/Df,11:50:00,12:54:00,13:13:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,1:04:00,0:19:00
2,31,Obp56g/CyO,11:46:00,13:48:00,14:09:00,79,102,95,62,338,N,72,87,75,44,278,0.911392405,0.852941176,0.789473684,0.709677419,0.822485207,2:02:00,0:21:00
2,32,Obp56g/CyO,11:46:00,12:34:00,12:51:00,46,96,90,62,294,N,35,81,65,41,222,0.760869565,0.84375,0.722222222,0.661290323,0.755102041,0:48:00,0:17:00
2,33,Obp56g/Df,12:01:00,12:45:00,13:13:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,0:44:00,0:28:00
2,34,WT/CyO,11:52:00,16:12:00,16:32:00,47,102,86,63,298,N,45,92,81,63,281,0.957446809,0.901960784,0.941860465,1,0.94295302,4:20:00,0:20:00
2,35,Df/WT,11:42:00,12:51:00,13:11:00,15,32,40,25,112,N,10,32,36,25,103,0.666666667,1,0.9,1,0.919642857,1:09:00,0:20:00
2,36,Obp56g/CyO,11:46:00,15:30:00,15:49:00,67,89,85,47,288,N,58,78,73,27,236,0.865671642,0.876404494,0.858823529,0.574468085,0.819444444,3:44:00,0:19:00
2,37,Df/WT,11:42:00,14:33:00,14:48:00,59,65,60,40,220,N,58,60,60,19,197,0.983050847,0.923076923,1,0.475,0.895454545,2:51:00,0:15:00
2,38,Df/WT,11:42:00,15:07:00,15:30:00,43,0,0,0,43,Y,35,0,0,0,35,0.813953488,NA,NA,NA,0.813953488,3:25:00,0:23:00
2,39,Obp56g/CyO,11:58:00,14:09:00,14:19:00,74,88,55,32,249,N,62,72,42,28,204,0.837837838,0.818181818,0.763636364,0.875,0.819277108,2:11:00,0:10:00
2,40,Df/WT,11:42:00,12:40:00,13:11:00,56,81,77,56,270,N,53,73,72,46,244,0.946428571,0.901234568,0.935064935,0.821428571,0.903703704,0:58:00,0:31:00
2,41,Df/WT,11:42:00,13:11:00,13:29:00,37,64,48,30,179,N,37,62,46,30,175,1,0.96875,0.958333333,1,0.977653631,1:29:00,0:18:00
2,42,Df/WT,11:55:00,12:44:00,13:04:00,65,105,89,73,332,N,63,102,82,53,300,0.969230769,0.971428571,0.921348315,0.726027397,0.903614458,0:49:00,0:20:00
2,43,Df/WT,11:55:00,13:48:00,14:09:00,45,73,67,59,244,Y,45,71,64,56,236,1,0.97260274,0.955223881,0.949152542,0.967213115,1:53:00,0:21:00
2,45,Obp56g/CyO,11:58:00,13:57:00,14:23:00,57,88,95,65,305,N,48,69,68,33,218,0.842105263,0.784090909,0.715789474,0.507692308,0.714754098,1:59:00,0:26:00
2,46,Obp56g/CyO,11:59:00,12:39:00,12:58:00,67,81,86,58,292,N,61,64,66,39,230,0.910447761,0.790123457,0.76744186,0.672413793,0.787671233,0:40:00,0:19:00
2,47,Df/WT,11:55:00,12:17:00,12:38:00,48,90,90,64,292,N,47,88,88,61,284,0.979166667,0.977777778,0.977777778,0.953125,0.97260274,0:22:00,0:21:00
2,48,Obp56g/CyO,11:59:00,13:04:00,13:22:00,53,76,82,60,271,N,37,50,60,27,174,0.698113208,0.657894737,0.731707317,0.45,0.642066421,1:05:00,0:18:00
2,49,Obp56g/Df,12:02:00,12:40:00,13:04:00,1,1,0,0,2,Y,0,0,0,0,0,0,0,NA,NA,0,0:38:00,0:24:00
2,50,Obp56g/CyO,11:59:00,13:30:00,14:23:00,61,97,95,58,311,N,56,84,66,42,248,0.918032787,0.865979381,0.694736842,0.724137931,0.797427653,1:31:00,0:53:00
2,51,Obp56g/Df,12:02:00,12:39:00,12:59:00,60,50,75,41,226,N,48,46,54,24,172,0.8,0.92,0.72,0.585365854,0.761061947,0:37:00,0:20:00
2,52,Obp56g/Df,12:02:00,14:39:00,15:09:00,0,0,0,0,0,N,0,0,0,0,0,NA,NA,NA,NA,NA,2:37:00,0:30:00
2,53,Df/WT,11:56:00,12:38:00,13:04:00,75,91,85,50,301,N,73,89,81,43,286,0.973333333,0.978021978,0.952941176,0.86,0.950166113,0:42:00,0:26:00
2,54,Obp56g/CyO,11:59:00,14:55:00,15:21:00,63,92,74,50,279,N,45,77,56,40,218,0.714285714,0.836956522,0.756756757,0.8,0.781362007,2:56:00,0:26:00
2,55,Obp56g/Df,12:02:00,13:13:00,13:30:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,1:11:00,0:17:00
2,56,Obp56g/Df,12:02:00,12:39:00,12:59:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,0:37:00,0:20:00
2,57,Obp56g/CyO,12:08:00,15:39:00,16:12:00,63,83,81,63,290,N,56,67,64,54,241,0.888888889,0.807228916,0.790123457,0.857142857,0.831034483,3:31:00,0:33:00
2,58,WT/CyO,11:52:00,14:29:00,14:52:00,68,93,90,50,301,N,67,88,88,50,293,0.985294118,0.946236559,0.977777778,1,0.973421927,2:37:00,0:23:00
2,60,Df/WT,11:56:00,14:27:00,14:55:00,66,84,79,61,290,N,61,81,76,59,277,0.924242424,0.964285714,0.962025316,0.967213115,0.955172414,2:31:00,0:28:00
2,61,Obp56g/Df,12:03:00,12:39:00,13:04:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,0:36:00,0:25:00
2,63,Df/WT,11:56:00,12:19:00,12:33:00,74,76,78,68,296,N,69,76,75,62,282,0.932432432,1,0.961538462,0.911764706,0.952702703,0:23:00,0:14:00
2,64,WT/CyO,11:53:00,12:22:00,13:03:00,87,106,83,38,314,Y,87,97,76,28,288,1,0.91509434,0.915662651,0.736842105,0.917197452,0:29:00,0:41:00
2,65,WT/CyO,11:53:00,12:57:00,13:24:00,68,80,27,60,235,N,67,78,23,55,223,0.985294118,0.975,0.851851852,0.916666667,0.94893617,1:04:00,0:27:00
2,66,Obp56g/CyO,12:09:00,14:09:00,14:39:00,53,47,45,26,171,N,49,42,40,25,156,0.924528302,0.893617021,0.888888889,0.961538462,0.912280702,2:00:00,0:30:00
2,67,Obp56g/CyO,12:09:00,12:34:00,12:54:00,73,75,80,61,289,N,70,62,67,56,255,0.95890411,0.826666667,0.8375,0.918032787,0.882352941,0:25:00,0:20:00
2,68,WT/CyO,12:05:00,15:11:00,15:36:00,48,74,70,51,243,N,45,69,61,46,221,0.9375,0.932432432,0.871428571,0.901960784,0.909465021,3:06:00,0:25:00
2,69,WT/CyO,12:05:00,12:26:00,12:43:00,63,41,57,26,187,N,61,41,53,24,179,0.968253968,1,0.929824561,0.923076923,0.957219251,0:21:00,0:17:00
2,70,Df/WT,11:56:00,13:11:00,13:29:00,64,80,87,59,290,N,62,75,86,50,273,0.96875,0.9375,0.988505747,0.847457627,0.94137931,1:15:00,0:18:00
2,72,Df/WT,11:57:00,12:17:00,12:38:00,50,37,6,0,93,Y,50,37,6,0,93,1,1,1,NA,1,0:20:00,0:21:00
2,73,WT/CyO,12:05:00,13:52:00,14:18:00,51,63,44,23,181,N,40,61,37,23,161,0.784313725,0.968253968,0.840909091,1,0.889502762,1:47:00,0:26:00
2,74,Obp56g/Df,12:03:00,12:39:00,13:04:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,0:36:00,0:25:00
2,75,Obp56g/Df,12:03:00,12:39:00,12:59:00,0,0,0,0,0,N,0,0,0,0,0,NA,NA,NA,NA,NA,0:36:00,0:20:00
2,76,WT/CyO,12:05:00,12:26:00,12:50:00,53,73,60,47,233,N,38,60,50,26,174,0.716981132,0.821917808,0.833333333,0.553191489,0.746781116,0:21:00,0:24:00
2,77,Df/WT,12:02:00,14:23:00,14:48:00,0,0,0,0,0,Y,0,0,0,0,0,NA,NA,NA,NA,NA,2:21:00,0:25:00
